date,amount,description,category,subcategory,payment_method,location,tags
2024-07-13,-254.87,Rent Payment,Housing,Rent,Direct_Debit,Rotterdam,
2024-10-05,-263.44,Rent Payment,Housing,Rent,Bank_Transfer,Eindhoven,
2024-06-11,-16.39,Uber,Transport,Taxi,Direct_Debit,Amsterdam,monthly_income
2024-06-24,-11.72,Texaco,Transport,Fuel,Bank_Transfer,Utrecht,travel
2025-04-04,-63.55,Jumbo,Food,Groceries,Direct_Debit,Amsterdam,weekend_fun
2024-10-21,-26.16,Vattenfall,Utilities,Electricity,Bank_Transfer,Den Haag,daily_coffee
2024-04-09,-193.04,AFAS Live,Entertainment,Concerts,Direct_Debit,Eindhoven,self_development
2025-06-09,-288.98,Apotheek,Health,Pharmacy,Direct_Debit,Den Haag,gift
2025-02-05,-66.18,Uber,Transport,Taxi,Cash,Eindhoven,
2025-01-28,3117.23,Monthly Salary,Income,Salary,Cash,Utrecht,monthly_income
2024-05-28,-170.86,Swapfiets,Transport,Bike_Rental,Card,Den Haag,date_night
2024-10-24,-153.47,Mortgage Payment,Housing,Mortgage,Card,Eindhoven,impulse_buy
2024-02-20,-24.0,BP,Transport,Fuel,Cash,Rotterdam,
2025-02-06,-111.71,Amazon Books,Education,Books,Card,Groningen,date_night
2024-02-15,-108.88,Cineworld,Entertainment,Movies,Direct_Debit,Den Haag,monthly_fixed
2024-11-30,-259.37,Cineworld,Entertainment,Movies,Card,Eindhoven,bonus
2025-06-18,-50.52,Shell,Transport,Fuel,Direct_Debit,Rotterdam,
2024-11-17,4894.7,Annual Bonus,Income,Bonus,Bank_Transfer,Rotterdam,
2024-08-26,-118.13,Steam,Entertainment,Games,Card,Groningen,impulse_buy
2025-03-27,-225.98,Coursera,Education,Courses,Card,Amsterdam,monthly_fixed
2024-10-14,-15.01,Coursera,Education,Courses,Direct_Debit,Utrecht,daily_coffee
2024-04-25,-40.87,Dirk,Food,Groceries,Bank_Transfer,Groningen,bonus
2024-05-07,-139.13,Broodje Mario,Food,Lunch,Cash,Utrecht,monthly_income
2025-05-13,-70.69,Huisarts,Health,Doctor,Bank_Transfer,Rotterdam,subscription
2025-04-11,-174.71,RET,Transport,Public_Transport,Card,Groningen,monthly_income
2024-11-23,-125.14,Texaco,Transport,Fuel,Card,Rotterdam,monthly_subscription
2024-07-20,-92.94,Cineworld,Entertainment,Movies,Cash,Groningen,
2024-12-24,-259.45,Basic-Fit,Health,Gym,Card,Amsterdam,
2025-05-19,-293.66,Ziggo Dome,Entertainment,Concerts,Bank_Transfer,Amsterdam,
2025-05-04,-116.24,Uber,Transport,Taxi,Direct_Debit,Amsterdam,monthly_subscription
2025-06-30,-213.0,Disney+,Entertainment,Streaming,Card,Utrecht,
2024-03-27,-271.66,KPN,Utilities,Internet,Cash,Utrecht,gift
2024-08-01,-117.84,Amazon Books,Education,Books,Card,Rotterdam,gift
2024-05-02,4285.4,Monthly Salary,Income,Salary,Bank_Transfer,Rotterdam,weekend_fun
2025-06-18,-111.23,Espresso Bar,Food,Coffee,Cash,Groningen,daily_coffee
2024-11-08,-265.69,Vodafone,Utilities,Phone,Cash,Utrecht,
2024-12-19,-130.28,Mortgage Payment,Housing,Mortgage,Card,Eindhoven,weekend_fun
2024-01-12,-191.42,BP,Transport,Fuel,Cash,Utrecht,monthly_subscription
2024-07-19,-274.02,Rent Payment,Housing,Rent,Bank_Transfer,Eindhoven,impulse_buy
2024-07-10,-253.87,Douglas,Health,Personal_Care,Cash,Eindhoven,monthly_fixed
2025-01-08,-265.12,Waternet,Utilities,Water,Cash,Rotterdam,weekly_shopping
2025-05-21,1101.4,Tax Refund,Income,Refund,Direct_Debit,Utrecht,
2024-07-23,-28.85,GVB,Transport,Public_Transport,Direct_Debit,Rotterdam,gift
2024-02-13,4613.35,Annual Bonus,Income,Bonus,Direct_Debit,Rotterdam,travel
2024-11-30,-99.18,Udemy,Education,Courses,Cash,Amsterdam,monthly_subscription
2024-10-26,-81.41,Udemy,Education,Courses,Card,Utrecht,bonus
2024-08-09,-253.99,Spotify,Entertainment,Streaming,Cash,Eindhoven,monthly_income
2025-01-07,2937.25,Annual Bonus,Income,Bonus,Cash,Eindhoven,
2025-05-26,-165.99,Huisarts,Health,Doctor,Direct_Debit,Utrecht,self_development
2024-05-15,-60.76,Cineworld,Entertainment,Movies,Direct_Debit,Amsterdam,
2024-06-29,-155.17,Eneco,Utilities,Gas,Cash,Groningen,
2025-03-25,-214.52,Huisarts,Health,Doctor,Bank_Transfer,Rotterdam,weekly_shopping
2025-01-25,-19.49,Huisarts,Health,Doctor,Direct_Debit,Utrecht,monthly_subscription
2024-10-17,-145.46,Ziggo,Utilities,Internet,Bank_Transfer,Eindhoven,weekend_shopping
2024-01-02,-140.08,Bolt,Transport,Taxi,Direct_Debit,Groningen,date_night
2024-01-19,-291.99,La Place,Food,Lunch,Direct_Debit,Eindhoven,monthly_fixed
2024-09-10,-18.0,Rent Payment,Housing,Rent,Card,Rotterdam,monthly_fixed
2024-02-02,-186.4,Waternet,Utilities,Water,Direct_Debit,Den Haag,
2025-02-05,-61.42,Coursera,Education,Courses,Card,Amsterdam,daily_coffee
2024-11-10,-159.53,HTM,Transport,Public_Transport,Card,Utrecht,monthly_income
2024-08-27,-32.4,AFAS Live,Entertainment,Concerts,Cash,Amsterdam,daily_coffee
2025-03-07,-14.71,Mortgage Payment,Housing,Mortgage,Bank_Transfer,Groningen,self_development
2025-04-29,-51.7,FEBO,Food,Snacks,Cash,Den Haag,monthly_income
2024-05-13,-9.53,Bol.com,Entertainment,Books,Cash,Den Haag,daily_coffee
2024-11-12,3347.81,Annual Bonus,Income,Bonus,Bank_Transfer,Utrecht,subscription
2025-04-29,-286.27,Albert Heijn,Food,Groceries,Bank_Transfer,Amsterdam,date_night
2024-10-29,-75.45,Taxi Centrale,Transport,Taxi,Bank_Transfer,Rotterdam,
2024-08-14,-165.0,Broodje Mario,Food,Lunch,Direct_Debit,Amsterdam,weekend_fun
2024-01-03,-113.66,Netflix,Entertainment,Streaming,Bank_Transfer,Groningen,monthly_fixed
2024-08-07,-282.37,Steam,Entertainment,Games,Direct_Debit,Groningen,date_night
2024-04-15,-135.78,Spotify,Entertainment,Streaming,Bank_Transfer,Utrecht,bonus
2024-05-17,-23.84,Ziggo,Utilities,Internet,Card,Rotterdam,monthly_income
2024-05-10,-81.04,Huisarts,Health,Doctor,Direct_Debit,Rotterdam,travel
2024-04-15,-45.17,Kruidvat,Health,Personal_Care,Direct_Debit,Groningen,
2024-10-21,-24.3,Broodje Mario,Food,Lunch,Cash,Utrecht,bonus
2025-06-23,-83.34,Ziggo Dome,Entertainment,Concerts,Direct_Debit,Groningen,impulse_buy
2025-06-10,-233.93,Mortgage Payment,Housing,Mortgage,Cash,Utrecht,bonus
2024-05-05,-167.92,Dirk,Food,Groceries,Direct_Debit,Rotterdam,subscription
2025-01-15,-206.23,Disney+,Entertainment,Streaming,Cash,Groningen,monthly_subscription
2025-02-17,-161.32,Rent Payment,Housing,Rent,Direct_Debit,Utrecht,
2025-05-03,-48.05,University Fees,Education,Tuition,Bank_Transfer,Rotterdam,subscription
2025-01-03,-13.05,Rent Payment,Housing,Rent,Cash,Amsterdam,travel
2025-02-24,-295.93,Waternet,Utilities,Water,Direct_Debit,Utrecht,weekly_shopping
2025-05-12,-106.12,Jumbo,Food,Groceries,Bank_Transfer,Amsterdam,
2025-03-09,-125.63,Greenchoice,Utilities,Electricity,Bank_Transfer,Den Haag,
2024-09-18,-167.98,Restaurant De Kas,Food,Dining_Out,Bank_Transfer,Amsterdam,weekly_shopping
2025-04-10,-155.32,Amazon Books,Entertainment,Books,Direct_Debit,Den Haag,bonus
2025-06-28,-155.66,BP,Transport,Fuel,Direct_Debit,Den Haag,self_development
2025-02-06,-38.39,Udemy,Education,Courses,Bank_Transfer,Eindhoven,
2024-06-02,-270.79,Jumbo,Food,Groceries,Bank_Transfer,Rotterdam,monthly_subscription
2024-05-26,-11.54,AFAS Live,Entertainment,Concerts,Card,Utrecht,
2024-05-21,-57.05,Restaurant De Kas,Food,Dining_Out,Card,Eindhoven,monthly_fixed
2024-05-16,-134.27,Jumbo,Food,Groceries,Cash,Amsterdam,monthly_subscription
2024-12-18,-36.97,McDonalds,Food,Snacks,Cash,Eindhoven,bonus
2024-12-19,-226.67,Huisarts,Health,Doctor,Bank_Transfer,Utrecht,weekend_fun
2024-03-05,-70.96,Bol.com,Entertainment,Books,Bank_Transfer,Groningen,subscription
2024-03-30,-258.26,Douglas,Health,Personal_Care,Cash,Rotterdam,
2025-05-25,2402.8,Dividends,Income,Investment_Income,Card,Den Haag,
2024-11-27,2925.84,Annual Bonus,Income,Bonus,Direct_Debit,Utrecht,
2024-04-10,-80.32,Service Pharmacy,Health,Pharmacy,Bank_Transfer,Den Haag,
2025-03-18,-132.18,La Place,Food,Lunch,Direct_Debit,Den Haag,
2024-11-24,-180.29,La Place,Food,Lunch,Bank_Transfer,Amsterdam,weekend_shopping
2025-06-08,-277.7,Huisarts,Health,Doctor,Card,Utrecht,bonus
2025-03-07,-229.27,Espresso Bar,Food,Coffee,Card,Den Haag,monthly_fixed
2024-01-07,-15.43,T-Mobile,Utilities,Phone,Bank_Transfer,Eindhoven,salary
2025-03-08,-220.28,Basic-Fit,Health,Gym,Card,Eindhoven,monthly_income
2024-06-18,-105.16,University Fees,Education,Tuition,Cash,Den Haag,weekend_fun
2024-10-13,-294.19,Rent Payment,Housing,Rent,Bank_Transfer,Eindhoven,monthly_fixed
2025-01-21,-10.49,Netflix,Entertainment,Streaming,Cash,Eindhoven,
2024-02-27,-200.47,Cineworld,Entertainment,Movies,Cash,Eindhoven,weekend_fun
2024-06-04,-48.55,Eneco,Utilities,Gas,Direct_Debit,Utrecht,impulse_buy
2024-12-04,-57.48,Rent Payment,Housing,Rent,Direct_Debit,Groningen,salary
2025-01-26,3247.39,Annual Bonus,Income,Bonus,Card,Groningen,
2024-03-28,-31.13,Bol.com,Education,Books,Card,Groningen,
2025-05-18,-85.61,VondelGym,Health,Gym,Cash,Rotterdam,self_development
2024-10-26,-122.34,Spotify,Entertainment,Streaming,Card,Eindhoven,
2025-06-18,-140.92,Bol.com,Entertainment,Books,Cash,Utrecht,bonus
2025-04-04,-200.9,Rent Payment,Housing,Rent,Cash,Utrecht,travel
2024-09-17,4775.88,Dividends,Income,Investment_Income,Card,Den Haag,bonus
2024-03-29,-296.07,Mortgage Payment,Housing,Mortgage,Bank_Transfer,Amsterdam,
2024-07-08,-193.55,University Fees,Education,Tuition,Cash,Rotterdam,self_development
2025-04-16,-195.92,T-Mobile,Utilities,Phone,Direct_Debit,Amsterdam,monthly_income
2024-10-07,-259.73,Disney+,Entertainment,Streaming,Cash,Den Haag,subscription
2024-01-16,3816.25,Monthly Salary,Income,Salary,Direct_Debit,Amsterdam,subscription
2025-05-05,-121.99,Steam,Entertainment,Games,Direct_Debit,Groningen,subscription
2024-10-26,-119.41,Donkey Republic,Transport,Bike_Rental,Cash,Den Haag,monthly_income
2024-02-07,3208.38,Tax Refund,Income,Refund,Bank_Transfer,Amsterdam,
2024-08-11,-157.09,Huisarts,Health,Doctor,Direct_Debit,Groningen,
2024-09-22,-95.09,Rent Payment,Housing,Rent,Direct_Debit,Groningen,impulse_buy
2024-11-15,-236.71,Mortgage Payment,Housing,Mortgage,Cash,Amsterdam,
2024-08-06,-193.04,Basic-Fit,Health,Gym,Bank_Transfer,Utrecht,
2024-07-01,-134.35,Texaco,Transport,Fuel,Bank_Transfer,Utrecht,daily_coffee
2024-06-20,-103.53,KPN,Utilities,Internet,Bank_Transfer,Rotterdam,monthly_subscription
2025-01-13,-249.98,Rent Payment,Housing,Rent,Card,Den Haag,date_night
2025-06-27,-174.45,Eneco,Utilities,Gas,Direct_Debit,Rotterdam,bonus
2024-08-29,-116.42,University Fees,Education,Tuition,Bank_Transfer,Groningen,monthly_subscription
2024-10-22,-126.73,KPN,Utilities,Internet,Card,Rotterdam,gift
2024-02-04,-23.49,Bol.com,Education,Books,Direct_Debit,Utrecht,
2024-02-25,-140.64,Amazon Books,Education,Books,Bank_Transfer,Groningen,weekly_shopping
2025-05-27,-270.78,Foodhallen,Food,Dining_Out,Card,Amsterdam,daily_coffee
2024-07-21,-260.35,Cineworld,Entertainment,Movies,Direct_Debit,Groningen,self_development
2024-09-14,-71.23,Rent Payment,Housing,Rent,Bank_Transfer,Eindhoven,impulse_buy
2024-12-29,-20.19,Huisarts,Health,Doctor,Bank_Transfer,Den Haag,salary
2024-11-09,-176.62,Bolt,Transport,Taxi,Cash,Amsterdam,weekend_fun
2024-08-06,-252.56,Service Pharmacy,Health,Pharmacy,Cash,Utrecht,
2025-01-16,-200.88,Huisarts,Health,Doctor,Card,Den Haag,
2025-02-03,4271.44,Tax Refund,Income,Refund,Bank_Transfer,Eindhoven,weekend_shopping
2024-04-29,-17.32,University Fees,Education,Tuition,Card,Eindhoven,monthly_fixed
2024-10-01,-195.46,Waternet,Utilities,Water,Direct_Debit,Den Haag,gift
2024-09-03,-75.49,Bol.com,Education,Books,Bank_Transfer,Amsterdam,date_night
2025-04-06,-69.96,Amazon Books,Education,Books,Direct_Debit,Rotterdam,gift
2024-06-10,-104.46,Eneco,Utilities,Gas,Card,Rotterdam,bonus
2025-04-10,-161.05,Udemy,Education,Courses,Cash,Utrecht,
2025-06-22,4908.78,Monthly Salary,Income,Salary,Card,Eindhoven,weekend_shopping
2024-09-29,-4.72,Ziggo Dome,Entertainment,Concerts,Bank_Transfer,Amsterdam,subscription
2024-04-04,-212.31,Starbucks,Food,Coffee,Cash,Den Haag,daily_coffee
2024-11-04,-87.97,Mortgage Payment,Housing,Mortgage,Cash,Eindhoven,
2025-05-18,-199.78,Broodje Mario,Food,Lunch,Card,Den Haag,
2025-01-14,-90.39,Rent Payment,Housing,Rent,Direct_Debit,Rotterdam,weekend_shopping
2025-01-03,-122.87,University Fees,Education,Tuition,Direct_Debit,Utrecht,monthly_fixed
2024-06-06,-232.97,Waternet,Utilities,Water,Card,Rotterdam,weekend_shopping
2025-01-15,-178.33,Vattenfall,Utilities,Electricity,Bank_Transfer,Amsterdam,
2024-10-01,-38.58,Etos,Health,Personal_Care,Cash,Utrecht,
2024-12-07,1239.35,Tax Refund,Income,Refund,Cash,Groningen,
2024-01-22,-258.36,Cineworld,Entertainment,Movies,Cash,Eindhoven,impulse_buy
2025-01-14,-296.64,Rent Payment,Housing,Rent,Direct_Debit,Den Haag,monthly_subscription
2024-09-12,-8.65,VondelGym,Health,Gym,Bank_Transfer,Utrecht,self_development
2024-08-24,-281.71,Amazon Books,Entertainment,Books,Bank_Transfer,Den Haag,subscription
2024-05-03,-91.39,Vattenfall,Utilities,Electricity,Card,Den Haag,
2024-02-25,-269.63,Netflix,Entertainment,Streaming,Direct_Debit,Utrecht,
2024-10-28,1034.25,Tax Refund,Income,Refund,Direct_Debit,Rotterdam,salary
2024-06-05,-194.08,Huisarts,Health,Doctor,Direct_Debit,Groningen,impulse_buy
2024-06-04,-101.12,Dirk,Food,Groceries,Cash,Den Haag,
2024-01-09,1236.1,Tax Refund,Income,Refund,Card,Amsterdam,
2025-01-07,-47.03,Huisarts,Health,Doctor,Cash,Amsterdam,
2025-06-27,-210.58,HTM,Transport,Public_Transport,Bank_Transfer,Amsterdam,
2024-09-22,-233.45,Rent Payment,Housing,Rent,Bank_Transfer,Rotterdam,bonus
2024-03-23,-136.37,Coffee Company,Food,Coffee,Card,Eindhoven,
2024-10-11,-3.89,Mortgage Payment,Housing,Mortgage,Card,Utrecht,daily_coffee
2024-05-02,-297.37,Mortgage Payment,Housing,Mortgage,Direct_Debit,Amsterdam,self_development
2025-03-13,-155.29,RET,Transport,Public_Transport,Cash,Amsterdam,weekend_shopping
2025-05-03,-70.34,Foodhallen,Food,Dining_Out,Bank_Transfer,Rotterdam,subscription
2024-05-23,-141.97,Steam,Entertainment,Games,Card,Utrecht,
2025-05-06,1258.15,Dividends,Income,Investment_Income,Bank_Transfer,Rotterdam,travel
2025-05-29,-247.07,Uber,Transport,Taxi,Direct_Debit,Den Haag,
2024-07-21,-96.81,Huisarts,Health,Doctor,Cash,Den Haag,salary
2025-05-03,-236.8,RET,Transport,Public_Transport,Cash,Eindhoven,bonus
2025-03-13,-65.74,KPN,Utilities,Internet,Bank_Transfer,Amsterdam,
2025-06-28,-192.61,Basic-Fit,Health,Gym,Card,Utrecht,weekend_fun
2025-05-05,-290.56,RET,Transport,Public_Transport,Card,Rotterdam,
2025-05-18,-126.8,Foodhallen,Food,Dining_Out,Cash,Amsterdam,weekly_shopping
2025-04-29,-80.95,Ziggo,Utilities,Internet,Direct_Debit,Groningen,weekly_shopping
2024-01-25,-13.93,Dirk,Food,Groceries,Direct_Debit,Rotterdam,monthly_subscription
2024-08-14,-262.29,Mortgage Payment,Housing,Mortgage,Card,Groningen,monthly_fixed
2024-12-11,-291.07,Apotheek,Health,Pharmacy,Direct_Debit,Rotterdam,impulse_buy
2025-01-13,-4.04,Douglas,Health,Personal_Care,Card,Den Haag,
2025-04-19,-67.25,Vodafone,Utilities,Phone,Bank_Transfer,Eindhoven,
2024-09-14,-231.13,Udemy,Education,Courses,Card,Utrecht,travel
2024-09-23,-60.3,Pathe,Entertainment,Movies,Card,Den Haag,monthly_income
2025-04-19,-154.19,BP,Transport,Fuel,Bank_Transfer,Amsterdam,daily_coffee
2024-11-11,-174.06,Basic-Fit,Health,Gym,Direct_Debit,Rotterdam,weekend_shopping
2024-10-06,-97.19,Cineworld,Entertainment,Movies,Cash,Eindhoven,salary
2025-03-13,-208.39,T-Mobile,Utilities,Phone,Card,Amsterdam,daily_coffee
2025-03-24,-73.31,KPN,Utilities,Internet,Cash,Groningen,weekend_fun
2024-01-15,-115.13,Mortgage Payment,Housing,Mortgage,Cash,Eindhoven,self_development
2024-10-07,-99.57,NS,Transport,Public_Transport,Direct_Debit,Utrecht,subscription
2024-10-28,-226.66,Huisarts,Health,Doctor,Cash,Groningen,
2024-12-04,-36.71,Pathe,Entertainment,Movies,Bank_Transfer,Eindhoven,
2025-03-07,-119.01,Bolt,Transport,Taxi,Card,Amsterdam,travel
2025-06-03,-34.03,Cineworld,Entertainment,Movies,Bank_Transfer,Utrecht,
2024-01-24,3459.62,Monthly Salary,Income,Salary,Cash,Amsterdam,salary
2024-03-16,-78.9,Coursera,Education,Courses,Card,Rotterdam,monthly_fixed
2025-03-13,-277.3,Mortgage Payment,Housing,Mortgage,Cash,Groningen,monthly_subscription
2024-03-29,-207.02,Eneco,Utilities,Gas,Card,Den Haag,monthly_income
2024-07-10,-64.14,Greenchoice,Utilities,Electricity,Card,Utrecht,subscription
2024-12-12,-141.81,Huisarts,Health,Doctor,Card,Den Haag,
2025-03-05,-105.39,Bolt,Transport,Taxi,Card,Rotterdam,
2024-08-03,-73.41,OV Fiets,Transport,Bike_Rental,Card,Den Haag,self_development
2024-05-07,-245.26,Huisarts,Health,Doctor,Card,Amsterdam,
2024-02-18,-71.05,Service Pharmacy,Health,Pharmacy,Direct_Debit,Den Haag,gift
2025-04-09,4559.5,Monthly Salary,Income,Salary,Direct_Debit,Rotterdam,gift
2024-02-02,-54.68,Rent Payment,Housing,Rent,Card,Rotterdam,date_night
2024-04-22,-188.93,Basic-Fit,Health,Gym,Bank_Transfer,Eindhoven,weekend_fun
2024-06-18,-90.54,Greenchoice,Utilities,Electricity,Card,Den Haag,salary
2025-03-30,-184.26,University Fees,Education,Tuition,Bank_Transfer,Rotterdam,weekend_fun
2024-03-22,-45.3,Bol.com,Entertainment,Books,Bank_Transfer,Groningen,
2025-02-19,-21.67,Spotify,Entertainment,Streaming,Direct_Debit,Groningen,monthly_income
2024-10-03,-299.71,Douglas,Health,Personal_Care,Card,Eindhoven,salary
2025-04-05,-270.66,Shell,Transport,Fuel,Direct_Debit,Eindhoven,
2024-08-03,-100.04,Mortgage Payment,Housing,Mortgage,Bank_Transfer,Groningen,weekend_fun
2024-07-30,-101.52,Hema Lunch,Food,Lunch,Direct_Debit,Rotterdam,salary
2024-02-21,-259.19,Rent Payment,Housing,Rent,Direct_Debit,Amsterdam,
2024-01-02,2696.36,Tax Refund,Income,Refund,Card,Groningen,date_night
2024-07-10,-205.23,Vodafone,Utilities,Phone,Cash,Utrecht,
2025-02-14,-18.76,Shell,Transport,Fuel,Direct_Debit,Amsterdam,monthly_income
2025-05-21,-29.62,Steam,Entertainment,Games,Bank_Transfer,Groningen,bonus
2025-01-19,-177.27,Netflix,Entertainment,Streaming,Direct_Debit,Rotterdam,
2024-10-14,-281.52,Douglas,Health,Personal_Care,Direct_Debit,Groningen,self_development
2024-01-31,-184.12,Udemy,Education,Courses,Card,Den Haag,monthly_income
2025-03-13,-249.1,Rent Payment,Housing,Rent,Card,Groningen,monthly_income
2024-02-26,-206.93,Mortgage Payment,Housing,Mortgage,Cash,Den Haag,weekend_shopping
2024-10-02,2013.54,Tax Refund,Income,Refund,Cash,Eindhoven,
2025-06-25,-157.59,Ziggo,Utilities,Internet,Bank_Transfer,Den Haag,weekly_shopping
2024-04-25,1788.59,Annual Bonus,Income,Bonus,Cash,Den Haag,weekend_fun
2024-08-09,-292.6,Lidl,Food,Groceries,Bank_Transfer,Rotterdam,weekend_fun
2025-04-01,-249.56,Amazon Books,Entertainment,Books,Bank_Transfer,Eindhoven,
2024-07-08,-243.92,KPN,Utilities,Internet,Bank_Transfer,Den Haag,self_development
2024-09-22,-71.9,Cineworld,Entertainment,Movies,Direct_Debit,Utrecht,subscription
2024-09-21,2216.9,Annual Bonus,Income,Bonus,Card,Groningen,salary
2025-01-20,-177.36,University Fees,Education,Tuition,Direct_Debit,Utrecht,
2025-01-18,-149.52,Amazon Books,Education,Books,Bank_Transfer,Groningen,
2024-10-29,-175.27,Shell,Transport,Fuel,Direct_Debit,Eindhoven,travel
2025-03-05,-135.62,Mortgage Payment,Housing,Mortgage,Card,Utrecht,salary
2024-06-29,-158.56,Kruidvat,Health,Personal_Care,Direct_Debit,Eindhoven,
2024-10-13,-2.92,Mortgage Payment,Housing,Mortgage,Cash,Rotterdam,
2024-10-31,-279.46,Coursera,Education,Courses,Card,Den Haag,gift
2024-10-16,-208.17,Eneco,Utilities,Gas,Direct_Debit,Groningen,gift
2024-04-16,2105.96,Monthly Salary,Income,Salary,Direct_Debit,Den Haag,date_night
2025-01-29,-159.23,Waternet,Utilities,Water,Bank_Transfer,Den Haag,salary
2024-09-24,-203.87,Bol.com,Entertainment,Books,Card,Amsterdam,
2024-08-22,-159.19,University Fees,Education,Tuition,Cash,Den Haag,gift
2024-01-17,-101.16,AFAS Live,Entertainment,Concerts,Cash,Den Haag,self_development
2024-02-05,526.34,Annual Bonus,Income,Bonus,Cash,Amsterdam,monthly_income
2024-11-28,-138.44,Pathe,Entertainment,Movies,Cash,Utrecht,monthly_fixed
2024-12-13,-57.02,Rent Payment,Housing,Rent,Card,Den Haag,
2024-01-27,-104.0,Texaco,Transport,Fuel,Bank_Transfer,Rotterdam,impulse_buy
2024-03-02,-267.11,GVB,Transport,Public_Transport,Cash,Utrecht,travel
2024-02-15,3827.3,Annual Bonus,Income,Bonus,Cash,Den Haag,weekly_shopping
2024-02-03,2580.1,Tax Refund,Income,Refund,Bank_Transfer,Amsterdam,impulse_buy
2025-03-07,-110.86,Waternet,Utilities,Water,Cash,Rotterdam,
2024-08-18,-234.15,Steam,Entertainment,Games,Card,Rotterdam,self_development
2024-07-30,2669.04,Dividends,Income,Investment_Income,Direct_Debit,Eindhoven,weekend_fun
2025-02-05,-283.59,Cineworld,Entertainment,Movies,Direct_Debit,Eindhoven,
2024-12-02,-94.47,Vattenfall,Utilities,Electricity,Bank_Transfer,Groningen,
2025-05-27,-177.58,Vodafone,Utilities,Phone,Cash,Utrecht,travel
2025-04-09,-216.08,VondelGym,Health,Gym,Direct_Debit,Amsterdam,self_development
2025-02-22,-292.25,VondelGym,Health,Gym,Card,Rotterdam,
